model,dev_acc,dev_ll,val_acc,val_ll,hold_acc,hold_ll,hold_brier,hold_ece,hold_draw_rec,sp55_acc,sp55_cov,sp60_acc,sp60_cov,sp60_cnt,sp65_acc,sp65_cov,pooled_acc,pooled_ll
Candidate F2 (Baseline),55.0,0.96665,51.32,1.00326,48.42,1.02999,0.61917,0.0203,0.0,59.63,28.7,67.27,14.5,55,83.33,3.2,52.43,0.99163
M1-A: Player Only (Zero Identity),56.84,0.94878,52.37,0.99448,48.16,1.03783,0.62473,0.0738,0.0,57.47,45.8,59.35,32.4,123,61.18,22.4,53.55,0.98247
M1-B: Player + Learned Prior,56.84,0.94878,52.37,0.99448,48.16,1.03783,0.62473,0.0738,0.0,57.47,45.8,59.35,32.4,123,61.18,22.4,53.55,0.98247
M1-C: F2 + Player Expert Blend,56.84,0.94878,52.37,0.99448,48.16,1.03783,0.62473,0.0738,0.0,57.47,45.8,59.35,32.4,123,61.18,22.4,53.55,0.98247
M1-D: Adaptive Player/History Blend,54.87,0.96325,51.05,0.99918,48.16,1.0294,0.61884,0.0301,0.0,59.13,30.3,64.62,17.1,65,66.67,4.7,52.24,0.98877
