metric,point_delta,q2_5,q97_5,percentile_ci_95,favorable_count,pct_favorable
RPS,-0.0018,-0.002770608512359734,-0.0007307555440140047,"[-0.0028, -0.0007]",1999 / 2000,99.95%
Log Loss,-0.005,-0.008349405308134095,-0.0016775740979613442,"[-0.0083, -0.0017]",1994 / 2000,99.70%
Brier Score,-0.005,-0.008112378271370502,-0.00216695841401333,"[-0.0081, -0.0022]",2000 / 2000,100.00%
Accuracy,0.003947,0.0009884961303182145,0.007028426411978168,"[0.10%, 0.70%]",1988 / 2000,99.40%
Goals MAE,-0.02,-0.03299833277773362,-0.006833221251495826,"[-0.0330, -0.0068]",1997 / 2000,99.85%
Clean Sheet Brier,-0.009,-0.015022512790555827,-0.003148233682703507,"[-0.0150, -0.0031]",1997 / 2000,99.85%
BTTS Brier,-0.007,-0.011750407142842732,-0.002224941558386072,"[-0.0118, -0.0022]",1992 / 2000,99.60%
Set-Piece Goal Brier,-0.023,-0.036060875802394754,-0.01034251857028974,"[-0.0361, -0.0103]",1999 / 2000,99.95%
